订单号,下单时间,订单金额,结算金额,京东券优惠,礼品卡优惠,优惠明细（A表示含有订单优惠，B表示只有单品优惠，C表示无优惠）,订单状态,订单类型,
8552856269,2015-02-24 18:26:03,325.00,104.80,12.00,0.00,B【单品促销优惠（1079224128）：26.10】【单品促销优惠（1051105098）：50.00】【单品促销优惠（1096260100）：133.00】【单品促销优惠（1353559972）：11.10】,等待确认收货,销售订单,
8551798046,2015-02-24 17:51:47,215.00,106.90,0.00,0.00,B【单品促销优惠（1031270315）：48.10】【单品促销优惠（1178530987）：60.00】,等待确认收货,销售订单,
8552837216,2015-02-24 17:41:59,125.00,75.00,0.00,0.00,B【单品促销优惠（1213137693）：50.00】,等待确认收货,销售订单,
8552742840,2015-02-24 17:18:26,46.00,46.00,0,0,C无优惠,等待出库,销售订单,
8551519263,2015-02-24 16:44:33,502.00,184.00,0.00,0.00,B【单品促销优惠（1031824049）：100.00】【单品促销优惠（1031180370）：79.00】【单品促销优惠（1031808396）：139.00】,等待确认收货,销售订单,
8551823089,2015-02-24 14:05:34,533.00,155.90,0.00,0.00,A【单品促销优惠（1213152357）：60.00】【单品促销优惠（1059049671）：178.00】【单品促销优惠（1213126821）：59.10】【单品促销优惠（1353616577）：30.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8551533000,2015-02-24 12:15:45,99.00,99.00,0,0,C无优惠,等待确认收货,销售订单,
8550985905,2015-02-24 10:32:09,514.00,167.00,0.00,0.00,A【单品促销优惠（1059049671）：89.00】【单品促销优惠（1193004860）：208.00】【店铺优惠:50.00】,等待出库,销售订单,
8550845457,2015-02-24 10:07:51,592.00,174.00,0.00,0.00,A【单品促销优惠（1031825822）：368.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8550837904,2015-02-24 09:26:40,595.00,150.00,0.00,0.00,A【单品促销优惠（1031180370）：79.00】【单品促销优惠（1051105098）：50.00】【单品促销优惠（1096260100）：266.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8550739869,2015-02-24 09:08:17,44.40,12.80,0.00,0.00,B【单品促销优惠（1116488900）：31.60】,等待确认收货,销售订单,
8550459388,2015-02-24 06:54:20,395.00,145.00,0.00,0.00,B【单品促销优惠（1051105098）：250.00】,等待确认收货,销售订单,
8549474480,2015-02-23 22:55:05,120.00,100.00,0.00,0.00,B【单品促销优惠（1031842119）：20.00】,等待确认收货,销售订单,
8548979381,2015-02-23 21:31:39,358.00,112.00,0.00,0.00,B【单品促销优惠（1030957237）：246.00】,等待确认收货,销售订单,
8548729953,2015-02-23 20:30:34,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,等待确认收货,销售订单,
8548549941,2015-02-23 19:43:16,128.00,65.00,0.00,0.00,B【单品促销优惠（1031268921）：63.00】,等待确认收货,销售订单,
8547549746,2015-02-23 19:28:43,99.00,99.00,0.00,98.60,C无优惠,等待确认收货,销售订单,
8547438071,2015-02-23 18:56:20,298.00,89.00,0.00,0.00,B【单品促销优惠（1071191979）：209.00】,等待确认收货,销售订单,
8547147263,2015-02-23 17:35:41,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,等待确认收货,销售订单,
8547145010,2015-02-23 17:34:41,206.00,81.00,0.00,0.00,B【单品促销优惠（1030957237）：123.00】【单品促销优惠（1030958198）：2.00】,等待确认收货,销售订单,
8547019694,2015-02-23 16:20:48,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,等待确认收货,销售订单,
8547734848,2015-02-23 15:20:11,276.00,98.00,0.00,0.00,B【单品促销优惠（1059049671）：178.00】,等待确认收货,销售订单,
8546196043,2015-02-23 13:16:36,387.00,144.00,0.00,0.00,B【单品促销优惠（1323453413）：243.00】,等待确认收货,销售订单,
8546135975,2015-02-23 12:59:53,390.00,102.00,0.00,0.00,A【单品促销优惠（1031808396）：278.00】【店铺优惠:10.00】,等待确认收货,销售订单,
