订单号,下单时间,订单金额,结算金额,京东券优惠,礼品卡优惠,优惠明细（A表示含有订单优惠，B表示只有单品优惠，C表示无优惠）,订单状态,订单类型,
8459825680,2015-02-11 20:16:17,526.00,163.60,0.00,0.00,A【单品促销优惠（1031180370）：79.00】【单品促销优惠（1031825822）：92.00】【店铺优惠:50.00】【单品促销优惠（1051105098）：50.00】【单品促销优惠（1096451902）：77.20】【单品促销优惠（1031836841）：14.20】,完成,销售订单,
8459528605,2015-02-11 20:09:39,200.00,89.40,3.00,0.00,B【单品促销优惠（1031836841）：42.60】【单品促销优惠（1031838227）：68.00】,等待确认收货,销售订单,
8459366256,2015-02-11 19:54:06,1340.00,695.00,0.00,0.00,B【单品促销优惠（1234083810）：645.00】,等待确认收货,销售订单,
8459071173,2015-02-11 19:01:49,131.20,85.00,0.00,0.00,B【单品促销优惠（1247973687）：46.20】,等待确认收货,销售订单,
8456662259,2015-02-11 18:35:58,598.00,150.80,0.00,0.00,A【单品促销优惠（1059049671）：89.00】【单品促销优惠（1031836841）：7.10】【单品促销优惠（1181528621）：11.10】【单品促销优惠（1071191979）：209.00】【单品促销优惠（1323453413）：81.00】【店铺优惠:50.00】,(删除)锁定,销售订单,
8455979533,2015-02-11 17:17:07,537.00,168.00,0.00,0.00,B【单品促销优惠（1030957237）：369.00】,等待确认收货,销售订单,
8453718023,2015-02-11 16:19:30,566.00,178.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1234083810）：129.00】【单品促销优惠（1071191979）：209.00】,等待确认收货,销售订单,
8451742872,2015-02-11 14:15:37,516.00,266.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1060953916）：200.00】,完成,销售订单,
8449882787,2015-02-11 13:48:02,894.00,217.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1071191979）：627.00】,(删除)锁定,销售订单,
8450652793,2015-02-11 13:40:37,258.00,158.00,0.00,0.00,B【单品促销优惠（1060953916）：100.00】,等待确认收货,销售订单,
8449239071,2015-02-11 13:24:24,639.00,157.00,0.00,0.00,A【单品促销优惠（1031825822）：92.00】【店铺优惠:50.00】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1041750488）：98.00】【单品促销优惠（1031826845）：103.00】,等待确认收货,销售订单,
8447976526,2015-02-11 12:35:26,326.00,112.00,0.00,0.00,B【单品促销优惠（1031826845）：103.00】【单品促销优惠（1031827952）：111.00】,等待确认收货,销售订单,
8448759296,2015-02-11 12:26:10,625.00,154.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1030957237）：123.00】【单品促销优惠（1071191979）：209.00】,完成,销售订单,
8446546954,2015-02-11 11:44:46,358.00,112.00,0.00,0.00,B【单品促销优惠（1030957237）：246.00】,完成,销售订单,
8446742205,2015-02-11 10:35:03,589.20,221.80,0.00,0.00,B【单品促销优惠（1181528621）：22.20】【单品促销优惠（1213137693）：50.00】【单品促销优惠（1051105098）：50.00】【单品促销优惠（1213152357）：60.00】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1247973687）：46.20】,(删除)锁定,销售订单,
8443509866,2015-02-11 10:03:34,617.60,152.70,0.00,0.00,A【单品促销优惠（1031831609）：21.20】【单品促销优惠（1264909549）：19.10】【单品促销优惠（1216406256）：19.10】【单品促销优惠（1160698197）：49.00】【单品促销优惠（1031836841）：14.20】【单品促销优惠（1247963581）：7.70】【单品促销优惠（1096260100）：133.00】【单品促销优惠（1041750488）：98.00】【单品促销优惠（1160109797）：53.60】【店铺优惠:50.00】,等待确认收货,销售订单,
8443469854,2015-02-11 10:02:06,473.00,149.90,0.00,0.00,A【单品促销优惠（1248041946）：49.10】【单品促销优惠（1051105098）：50.00】【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031827952）：111.00】【店铺优惠:50.00】,完成,销售订单,
8444154565,2015-02-11 09:53:59,743.00,177.00,0.00,0.00,A【单品促销优惠（1041750488）：98.00】【单品促销优惠（1071191979）：418.00】【店铺优惠:50.00】,完成,销售订单,
8443980433,2015-02-11 09:47:16,35.20,19.80,0.00,0.00,B【单品促销优惠（1247963581）：15.40】,等待确认收货,销售订单,
8442949094,2015-02-11 09:42:39,566.00,178.00,0.00,0.00,A【单品促销优惠（1071191979）：209.00】【单品促销优惠（1234083810）：129.00】【店铺优惠:50.00】,(删除)锁定,销售订单,
8441848389,2015-02-11 08:25:27,1199.20,422.60,0.00,0.00,A【单品促销优惠（1031808396）：139.00】【单品促销优惠（1193004860）：208.00】【单品促销优惠（1031826845）：103.00】【单品促销优惠（1247973687）：46.20】【单品促销优惠（1031268921）：63.00】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1334284628）：40.20】【单品促销优惠（1216406256）：38.20】【店铺优惠:50.00】,完成,销售订单,
8440952409,2015-02-11 07:48:42,258.00,158.00,0.00,0.00,B【单品促销优惠（1060953916）：100.00】,完成,销售订单,
8437270095,2015-02-11 05:58:31,77.80,36.90,0.00,0.00,B【单品促销优惠（1248001565）：40.90】,等待确认收货,销售订单,
8430035766,2015-02-11 00:54:01,735.00,245.00,0.00,0.00,B【单品促销优惠（1041750488）：490.00】,等待确认收货,销售订单,
8429280211,2015-02-11 00:18:41,258.00,158.00,0.00,0.00,B【单品促销优惠（1060953916）：100.00】,完成,销售订单,
8440624870,2015-02-11 00:02:53,258.00,158.00,0.00,0.00,B【单品促销优惠（1060953916）：100.00】,完成,销售订单,
8429607760,2015-02-10 23:48:59,426.00,162.70,0.00,0.00,A【单品促销优惠（1248041946）：49.10】【单品促销优惠（1031806164）：35.20】【单品促销优惠（1234083810）：129.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8429502108,2015-02-10 23:44:39,466.00,228.00,0.00,0.00,A【单品促销优惠（1232794954）：59.00】【单品促销优惠（1234083810）：129.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8429262953,2015-02-10 23:40:55,128.00,79.00,0.00,0.00,B【单品促销优惠（1079082723）：49.00】,等待确认收货,销售订单,
8429297304,2015-02-10 23:36:15,893.00,314.40,0.00,0.00,A【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031827952）：111.00】【店铺优惠:50.00】【单品促销优惠（1213148978）：37.10】【单品促销优惠（1031831609）：42.40】【单品促销优惠（1031835682）：29.10】【单品促销优惠（1030957237）：246.00】,完成,销售订单,
8428618109,2015-02-10 23:14:29,98.00,29.00,0.00,0.00,B【单品促销优惠（1031864369）：69.00】,完成,销售订单,
8428194657,2015-02-10 22:58:15,572.00,166.80,0.00,0.00,A【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031827952）：111.00】【店铺优惠:50.00】【单品促销优惠（1264909549）：38.20】【单品促销优惠（1305382511）：40.00】【单品促销优惠（1031826845）：103.00】,等待确认收货,销售订单,
8426871851,2015-02-10 22:43:58,109.00,69.00,2.00,0.00,B【单品促销优惠（1031832162）：40.00】,完成,销售订单,
8427739769,2015-02-10 22:40:57,804.00,367.00,0.00,0.00,A【单品促销优惠（1234083810）：387.00】【店铺优惠:50.00】,完成,销售订单,
8427870796,2015-02-10 22:40:22,564.00,160.80,0.00,0.00,A【单品促销优惠（1031827952）：111.00】【店铺优惠:50.00】【单品促销优惠（1031825822）：92.00】【单品促销优惠（1041750488）：98.00】【单品促销优惠（1079224128）：52.20】,等待确认收货,销售订单,
8427727985,2015-02-10 22:36:55,667.00,177.00,0.00,0.00,A【单品促销优惠（1031827952）：111.00】【单品促销优惠（1031825822）：92.00】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1041750488）：98.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8426572755,2015-02-10 22:34:17,511.00,164.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1031180370）：158.00】【单品促销优惠（1031808396）：139.00】,完成,销售订单,
8427641816,2015-02-10 22:31:35,375.00,155.00,0.00,0.00,A【单品促销优惠（1031827952）：111.00】【单品促销优惠（1232794954）：59.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8426433003,2015-02-10 22:28:08,60.00,20.00,0.00,0.00,B【单品促销优惠（1305382511）：40.00】,等待确认收货,销售订单,
8427422020,2015-02-10 22:23:13,524.00,177.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1193004860）：208.00】,(删除)锁定,销售订单,
8425907554,2015-02-10 22:04:58,516.00,316.00,13.00,0.00,B【单品促销优惠（1060953916）：200.00】,完成,销售订单,
8425933529,2015-02-10 21:32:51,568.00,184.50,0.00,0.00,A【单品促销优惠（1031831609）：42.40】【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031864369）：69.00】【单品促销优惠（1031270315）：48.10】【单品促销优惠（1031827952）：111.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8425056364,2015-02-10 20:54:05,580.00,167.50,0.00,0.00,A【单品促销优惠（1177338752）：61.00】【单品促销优惠（1096451902）：77.20】【单品促销优惠（1051081632）：120.00】【单品促销优惠（1213148978）：37.10】【单品促销优惠（1264909549）：19.10】【单品促销优惠（1031270315）：48.10】【店铺优惠:50.00】,等待确认收货,销售订单,
8423899926,2015-02-10 20:45:23,1037.00,451.80,0.00,0.00,B【单品促销优惠（1031864931）：48.20】【单品促销优惠（1060953916）：100.00】【单品促销优惠（1060294136）：68.00】【单品促销优惠（1030957237）：369.00】,等待确认收货,销售订单,
8423745560,2015-02-10 20:03:57,654.00,414.00,0.00,0.00,B【单品促销优惠（1079134370）：240.00】,等待确认收货,销售订单,
8422194607,2015-02-10 19:49:15,316.00,158.00,0.00,0.00,B【单品促销优惠（1031180370）：158.00】,等待确认收货,销售订单,
8422601320,2015-02-10 19:22:13,296.00,118.00,0.00,0.00,B【单品促销优惠（1038291460）：178.00】,完成,销售订单,
8420414631,2015-02-10 18:43:14,457.00,157.90,0.00,0.00,A【单品促销优惠（1353616577）：30.00】【单品促销优惠（1178530987）：60.00】【单品促销优惠（1030957716）：38.10】【单品促销优惠（1031826593）：50.00】【单品促销优惠（1096534858）：71.00】【店铺优惠:50.00】,完成,销售订单,
8420597264,2015-02-10 18:06:32,414.00,149.70,0.00,0.00,B【单品促销优惠（1079014906）：264.30】,完成,销售订单,
8419162254,2015-02-10 17:51:15,816.00,173.00,0.00,0.00,A【单品促销优惠（1031826845）：103.00】【单品促销优惠（1096568963）：456.00】【单品促销优惠（1060294136）：34.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8419866949,2015-02-10 17:43:52,536.00,278.00,0.00,0.00,B【单品促销优惠（1234083810）：258.00】,完成,销售订单,
8418162011,2015-02-10 17:14:54,356.00,112.00,0.00,0.00,B【单品促销优惠（1031827952）：111.00】【单品促销优惠（1096260100）：133.00】,等待确认收货,销售订单,
8418044251,2015-02-10 17:10:04,222.00,64.00,0.00,0.00,B【单品促销优惠（1116488900）：158.00】,等待确认收货,销售订单,
8417718478,2015-02-10 16:52:33,366.00,98.00,0.00,0.00,A【单品促销优惠（1178530987）：30.00】【单品促销优惠（1096568963）：228.00】【店铺优惠:10.00】,完成,销售订单,
8417653637,2015-02-10 16:12:19,357.00,158.00,0.00,0.00,A【单品促销优惠（1031830982）：139.00】【单品促销优惠（1051105098）：50.00】【店铺优惠:10.00】,等待确认收货,销售订单,
8415488695,2015-02-10 15:21:43,952.00,245.80,0.00,0.00,A【单品促销优惠（1216406256）：19.10】【单品促销优惠（1031826845）：618.00】【单品促销优惠（1264909549）：19.10】【店铺优惠:50.00】,完成,销售订单,
8415149506,2015-02-10 15:00:56,482.80,150.80,0.00,0.00,A【单品促销优惠（1181526046）：2.00】【单品促销优惠（1248041946）：49.10】【单品促销优惠（1031825822）：92.00】【单品促销优惠（1041750488）：98.00】【单品促销优惠（1248001565）：40.90】【店铺优惠:50.00】,等待确认收货,销售订单,
8416071528,2015-02-10 14:54:48,331.00,89.30,0.00,0.00,A【单品促销优惠（1160698196）：49.00】【单品促销优惠（1031836841）：49.70】【单品促销优惠（1096260100）：133.00】【店铺优惠:10.00】,完成,销售订单,
8414885858,2015-02-10 14:48:34,569.00,209.00,0.00,0.00,A【单品促销优惠（1031860432）：10.00】【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1041750488）：98.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8415726124,2015-02-10 14:38:51,650.00,233.00,0.00,0.00,B【单品促销优惠（1031825822）：92.00】【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1030957237）：123.00】,(删除)锁定,销售订单,
